Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Trinity Methodist Church (former),Dutchess,01/12/2010,09NR06040,-73.9729100108,41.5082952543,POINT (-73.9729100108 41.5082952543)
Smith Metropolitan A.M.E. Zion Church,Dutchess,11/21/1991,91NR00090,-73.9158237014,41.7066474873,POINT (-73.9158237014 41.7066474873)
Immanuel Baptist Church,Monroe,02/05/2002,01NR01812,-77.5742243776,43.1468153574,POINT (-77.5742243776 43.1468153574)
Silliman Memorial Presbyterian Church,Albany,08/01/1979,90NR02829,-73.7004940028,42.7746381952,POINT (-73.7004940028 42.7746381952)
St. George's Church,Nassau,03/07/1973,90NR01710,-73.6221848438,40.706807016,POINT (-73.6221848438 40.706807016)
St. William's Catholic Church,Hamilton,01/07/2005,91NR00101,-74.6313936176,43.8261099306,POINT (-74.6313936176 43.8261099306)
Sacred Heart Roman Catholic Church Complex,Niagara,12/03/2019,18NR00091,-79.0483484104,43.1061126013,POINT (-79.0483484104 43.1061126013)
Church of the Holy Cross,Rensselaer,06/04/1973,90NR00988,-73.6831389054,42.7323757013,POINT (-73.6831389054 42.7323757013)
Glen Wild Methodist Church,Sullivan,05/10/1984,90NR01048,-74.5880712572,41.6661352653,POINT (-74.5880712572 41.6661352653)
Wanakena Presbyterian Church,St. Lawrence,09/28/2007,05NR05552,-74.9217300615,44.1339185843,POINT (-74.9217300615 44.1339185843)
Dover Stone Church,Dutchess,12/02/2014,14NR06540,-73.5870158525,41.737550924,POINT (-73.5870158525 41.737550924)
Emmanuel Episcopal Church Complex,Chenango,08/26/2009,09NR06009,-75.5272563851,42.530484369,POINT (-75.5272563851 42.530484369)
Webster Baptist Church,Monroe,11/07/1991,90NR03281,-77.4308157285,43.2105251658,POINT (-77.4308157285 43.2105251658)
First Presbyterian Church,Oneida,11/03/1988,90NR02065,-75.2504285333,43.091373349,POINT (-75.2504285333 43.091373349)
Calvary Episcopal Church,Chenango,02/20/1998,98NR01311,-75.7677989119,42.4995261502,POINT (-75.7677989119 42.4995261502)
South Presbyterian Church,Westchester,05/26/2000,00NR01575,-73.8724000523,41.0148226172,POINT (-73.8724000523 41.0148226172)
Church of the Transfiguration and Rectory,New York,06/04/1973,90NR00753,-73.9859454387,40.7451737323,POINT (-73.9859454387 40.7451737323)
Methodist Church,Oswego,11/15/1988,90NR02166,-76.0828546928,43.6434306835,POINT (-76.0828546928 43.6434306835)
First Presbyterian Church Rectory,Dutchess,11/26/1982,90NR00398,-73.9249370174,41.7011733383,POINT (-73.9249370174 41.7011733383)
Grace Church Complex,Nassau,06/30/1983,90NR01723,-73.4592611539,40.6671832371,POINT (-73.4592611539 40.6671832371)
First Reformed Church,Queens,04/16/1980,90NR01569,-73.8017210495,40.7024710994,POINT (-73.8017210495 40.7024710994)
Plymouth Congregational Church,Onondaga,11/07/1997,97NR01252,-76.1500649634,43.0457279671,POINT (-76.1500649634 43.0457279671)
Port Gibson United Methodist Church,Ontario,11/29/1996,96NR01090,-77.1562238095,43.0368587698,POINT (-77.1562238095 43.0368587698)
Congregational Church of Patchogue,Suffolk,04/01/1993,93NR00436,-73.0128453632,40.7661770229,POINT (-73.0128453632 40.7661770229)
St. Luke's Church,Columbia,10/07/1983,90NR00229,-73.8252324902,42.0873018844,POINT (-73.8252324902 42.0873018844)
St. Luke's Protestant Episcopal Church,Kings,09/16/1982,90NR01311,-73.96720568,40.6826892338,POINT (-73.96720568 40.6826892338)
New York Presbyterian Church,New York,06/03/1982,90NR00752,-73.9463994197,40.8109232937,POINT (-73.9463994197 40.8109232937)
East Palmyra Presbyterian Church,Wayne,12/31/2002,02NR04982,-77.1476694009,43.0838029182,POINT (-77.1476694009 43.0838029182)
St. Paul's R.C. Church,Erie,,16NR00061,-78.8713504098,42.9639206273,POINT (-78.8713504098 42.9639206273)
St. James AME Zion Church,Tompkins,07/22/1982,90NR02256,-76.5046366536,42.4377375066,POINT (-76.5046366536 42.4377375066)
St. Luke's Episcopal Church,Westchester,01/04/2001,00NR01709,-73.684143698,41.2553409639,POINT (-73.684143698 41.2553409639)
Calvary Methodist Episcopal Church,Albany,02/28/2008,06NR05595,-73.7919326747,42.6648434864,POINT (-73.7919326747 42.6648434864)
Brick Presbyterian Church Complex,Monroe,03/12/1992,91NR00157,-77.6163939139,43.15756027,POINT (-77.6163939139 43.15756027)
Trinity Church,Wyoming,03/18/1980,90NR02040,-78.1342294779,42.7398643714,POINT (-78.1342294779 42.7398643714)
Zion-St. Mark's Evangelical Lutheran Church,New York,03/23/1995,93NR00502,-73.9510475554,40.7761251214,POINT (-73.9510475554 40.7761251214)
Owasco Reformed Church,Cayuga,04/27/2010,10NR06092,-76.4657025355,42.854611305,POINT (-76.4657025355 42.854611305)
Old First Church,Suffolk,11/06/1985,90NR01866,-73.4194601831,40.8747058934,POINT (-73.4194601831 40.8747058934)
St. Matthias RC Church Complex,Queens,09/04/2012,12NR06354,-73.9025304947,40.7021571791,POINT (-73.9025304947 40.7021571791)
Christ Church,Orange,08/15/2008,08NR05854,-74.4178925071,41.4458317272,POINT (-74.4178925071 41.4458317272)
