Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
"Ingersoll, Robert, Birthplace",Yates,02/11/1988,90NR00017,-76.9562248511,42.6843528154,POINT (-76.9562248511 42.6843528154)
Theodore Roosevelt Birthplace National Historic Site,New York,10/15/1966,90NR00881,-73.9890409048,40.7386489848,POINT (-73.9890409048 40.7386489848)
"Westinghouse, George Jr., Birthplace and Boyhood Home",Schoharie,03/20/1986,90NR02679,-74.3318227386,42.7090173768,POINT (-74.3318227386 42.7090173768)
