Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Buffalo Seminary,Erie,05/11/2011,10NR06177,-78.8745378939,42.9245206936,POINT (-78.8745378939 42.9245206936)
Genesee Wesleyan Seminary and Genesee College Hall,Livingston,07/19/1976,90NR01396,-77.6143969159,42.908977814,POINT (-77.6143969159 42.908977814)
St. Joseph's Seminary,Sullivan,07/08/1993,94NR00752,-75.0576629767,41.7700508243,POINT (-75.0576629767 41.7700508243)
Saint Bernard's Seminary,Monroe,04/18/1996,96NR00940,-77.6286678561,43.2097922474,POINT (-77.6286678561 43.2097922474)
Union Theological Seminary,New York,04/23/1980,90NR00684,-73.9621361428,40.811433242,POINT (-73.9621361428 40.811433242)
