the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.99750572267075 40.71304968111903, -73.99748308373913 40.71297542002298, -73.99746269075737 40.7129085341529, -73.99757370068886 40.71289932882548, -73.99755834514363 40.71284389487075, -73.99791360317496 40.71281445245999, -73.99798057169578 40.71305620652251, -73.99782025509883 40.713078745178784, -73.99773362148629 40.71309093551818, -73.99752801139553 40.71312275893152, -73.99750572267075 40.71304968111903)))",375,MN,279,69,12 Oliver Street,1002790069,Oliver Street Baptist Church,LP-00093,"Borough of Manhattan Tax Map Block 279, Lot 69.",Designated,now Mariners' Temple,02/01/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0093.pdf,448.590761406,11602.1571279
"MULTIPOLYGON (((-73.98609487554633 40.745387158503654, -73.98607183767638 40.745377441055105, -73.98625256590384 40.74512982165569, -73.98632749356915 40.74516142664986, -73.98623246690853 40.74529162498126, -73.9861893195775 40.7453507416746, -73.98614676553444 40.74540904616573, -73.98609487554633 40.745387158503654)))",382,MN,859,5,1 East 29th Street,1008590005,Rectory of the Church of the Transfiguration,LP-00471,"Borough of Manhattan Tax Map Block 859, Lot 5.",Designated,also known as the Little Church around the Corner,05/25/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0471.pdf,253.848347912,2449.68784871
"MULTIPOLYGON (((-73.98309143614239 40.71559337998201, -73.98318868869488 40.71540511103298, -73.98353028500344 40.71550735842021, -73.98343300724076 40.71569558352653, -73.98309143614239 40.71559337998201)))",389,MN,336,17,7-13 Bialystoker Place,1003360017,Willett Street Methodist Episcopal Church,LP-00181,"Borough of Manhattan Tax Map Block 336, Lot 17.",Designated,now Bialystoker Synagogue,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0181.pdf,350.895114117,7498.62767874
"MULTIPOLYGON (((-74.01390579802714 40.70836668465176, -74.01393398738121 40.708300706195935, -74.01425069928061 40.7083831173211, -74.01422468532319 40.708449517024235, -74.01390579802714 40.70836668465176)))",391,MN,53,3,103 Washington Street,1000530003,Saint George's Syrian Catholic Church,LP-02167,"Borough of Manhattan Tax Map Block 53, Lot 3",Designated,,07/14/2009,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2167.pdf,236.737708425,2350.89011689
"MULTIPOLYGON (((-73.99840803274196 40.73002643869891, -73.99860966826353 40.73012598982177, -73.99849904017695 40.73025640187103, -73.99855775374954 40.730285392690305, -73.99852429997269 40.730324829133934, -73.99852227222219 40.73032382774248, -73.99846474015538 40.730391648783964, -73.99820456815712 40.73026318929093, -73.99840803274196 40.73002643869891)))",411,MN,541,23,55 Washington Square South,1005410023,Judson Memorial Church,LP-00196,"Borough of Manhattan Tax Map Block 541, Lot 23.",Designated,,05/17/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0196.pdf,378.765692862,7779.78846791
"MULTIPOLYGON (((-73.95962625366377 40.77263044330792, -73.95980925901691 40.77238093825947, -73.95995322113946 40.772441992966804, -73.96013564885725 40.7725193581129, -73.96043963362514 40.772648276244865, -73.96025663108416 40.772897781384316, -73.95962625366377 40.77263044330792)))",472,MN,1410,53,1067-1071 Lexington Avenue,1014100053,Saint Jean Baptiste Church,LP-00420,"Borough of Manhattan Tax Map Block 1410, Lot 53.",Designated,,11/19/1969,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0420.pdf,608.021136474,20808.784298
"MULTIPOLYGON (((-73.99894318963554 40.71486694327631, -73.99888697168228 40.71452769347926, -73.99921413636564 40.71451025329142, -73.99922226832517 40.71458536221559, -73.99922836612332 40.714641699986274, -73.99924674359825 40.71481145531494, -73.999253274547 40.714871785948304, -73.9992631204765 40.71492883874448, -73.99894318963554 40.71486694327631)))",478,MN,164,37,25 Mott Street,1001640037,Zion English Lutheran Church,LP-00085,"Borough of Manhattan Tax Map Block 164, Lot 37.",Designated,now the Church of the Transfiguration,02/01/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0085.pdf,460.137497672,12197.2619903
"MULTIPOLYGON (((-73.94622737307229 40.811003079586136, -73.94614522111831 40.810968521559865, -73.94632472788756 40.81072420297316, -73.94665033786757 40.81086117303621, -73.94647183544197 40.81110591492382, -73.94622737307229 40.811003079586136)))",482,MN,1913,1,151 West 128th Street,1019130001,Metropolitan Baptist Church,LP-01134,"Borough of Manhattan Tax Map Block 1913, Lot 1.",Designated,originally the New York Presbyterian Church,02/03/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1134.pdf,410.261586579,10519.2404811
"MULTIPOLYGON (((-73.97429775479429 40.787837186377075, -73.97420620658337 40.78779853173322, -73.9743959656672 40.7875386120306, -73.97480081949288 40.78770955240679, -73.97465720545719 40.78790637942359, -73.97436752430116 40.78778406785832, -73.97434947891831 40.78780878889743, -73.97432580262871 40.78779879166728, -73.97429775479429 40.787837186377075)))",491,MN,1217,1,165 West 86th Street,1012170001,West Park Presbyterian Church,LP-02338,"Borough of Manhattan Tax Map Block 1217, Lot 1",Designated,,01/12/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2338.pdf,473.112303874,11357.1696069
"MULTIPOLYGON (((-73.94925844915048 40.778445389085974, -73.94936078246168 40.77830427495638, -73.94928528321607 40.778272399089985, -73.94936238845476 40.778166075564826, -73.94952072669618 40.77823292629064, -73.94953783524187 40.778240148608845, -73.94958141150224 40.7781800582499, -73.9496431121524 40.778206108847336, -73.94969690219982 40.77822881779636, -73.94965332601171 40.77828890819852, -73.9497064316436 40.77831132868305, -73.95023027791352 40.77853248986791, -73.9500508450447 40.77877992789501, -73.94925844915048 40.778445389085974)))",492,MN,1550,35,312-316 East 88th Street,1015500035,Church of the Holy Trinity and Saint Christopher House,LP-00446,"Borough of Manhattan Tax Map Block 1550, Lot 35.",Designated,,02/15/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0446.pdf,805.778741601,27813.7445679
