the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.77377836284235 40.76796938700249, -73.77386061558063 40.7681238799946, -73.77353867004298 40.768221237172156, -73.77346031753595 40.76806556385177, -73.77377836284235 40.76796938700249)))",92,QN,6169,21,35-34 Bell Boulevard,4061690021,35-34 Bell Boulevard,LP-02154,"Borough of Queens Tax Map Block 6169, Lot 21.",Designated,,10/19/2004,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2154.pdf,312.235012486,5792.42608238
"MULTIPOLYGON (((-73.76708784401494 40.76310027236949, -73.76716220367436 40.76348830453594, -73.76657412855096 40.76354736386792, -73.76648533343239 40.7632006839789, -73.76708784401494 40.76310027236949)))",93,QN,6290,100,216th Street at 42nd Avenue,4062900100,Lawrence Graveyard,LP-00630,"Borough of Queens Tax Map Block 6290, Lot 100.",Designated,,08/02/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0630.pdf,606.735557922,22727.5530283
"MULTIPOLYGON (((-73.79892713024829 40.70558070248603, -73.7989710788092 40.705565367855314, -73.79930968848953 40.70544722867993, -73.79941970299384 40.705630760547145, -73.79903714392242 40.70576423381516, -73.79892713024829 40.70558070248603)))",102,QN,9760,27,89-31 161st Street,4097600027,Jamaica Chamber of Commerce Building,LP-02386,"Borough of Queens Tax Map Block 9760, Lot 27",Designated,,10/26/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2386.pdf,380.355763163,8575.59826529
"MULTIPOLYGON (((-73.79936013979056 40.70520484697961, -73.79953415560281 40.7051425833712, -73.79987335045101 40.705021219716244, -73.7999501271108 40.705145027046626, -73.79943684581762 40.70532867974195, -73.79936013979056 40.70520484697961)))",104,QN,9757,23,90-04 161st Street,4097570023,Suffolk Title and Guarantee Company Build,LP-02088,"Borough of Queens Tax Map Block 9757, Lot 23.",Designated,,03/06/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2088.pdf,414.246631799,7843.03711689
"MULTIPOLYGON (((-73.79918204678764 40.70442426633694, -73.79914377226079 40.70435971104977, -73.79917352047246 40.70434906665153, -73.79915139778457 40.70431010693789, -73.79922970752813 40.704282088086416, -73.79938136702754 40.704227822795616, -73.79945310296382 40.704343508957635, -73.79918998425879 40.70443765371727, -73.79918204678764 40.70442426633694)))",106,QN,9757,8,90-33 160th Street,4097570008,La Casina,LP-01940,"Borough of Queens Tax Map Block 9757, Lot 8.",Designated,"also known as La Casino, now Jamaica Business Resource Center",01/30/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1940.pdf,253.407768375,3595.71991318
"MULTIPOLYGON (((-73.79789255559272 40.70342548616851, -73.79800175440154 40.70338339511867, -73.79832233363113 40.70393636140116, -73.79808692093653 40.704024116211876, -73.79798796783832 40.70386765027484, -73.79813434446197 40.703810507413976, -73.79789255559272 40.70342548616851)))",107,QN,10101,11,161-04 Jamaica Avenue,4101010011,The Register,LP-00875,"Borough of Queens Tax Map Block 10101, Lot 11.",Designated,now the Jamaica Arts Center,11/12/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0875.pdf,591.168283558,9622.19067695
"MULTIPOLYGON (((-73.79683042702109 40.704154759876324, -73.79700274970298 40.70408221953191, -73.79722059312547 40.70438743470885, -73.79704739312554 40.704460344842346, -73.79683042702109 40.704154759876324)))",109,QN,10102,10,162-24 Jamaica Avenue,4101020010,J. Kurtz & Sons Store,LP-01132,"Borough of Queens Tax Map Block 10102, Lot 10.",Designated,,11/24/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1132.pdf,362.570742629,6926.8307518
"MULTIPOLYGON (((-73.74974242103787 40.60037774082017, -73.74991641679686 40.600254316178216, -73.75012795338604 40.60042205259377, -73.74996336478131 40.6005529363651, -73.74974242103787 40.60037774082017)))",111,QN,15574,10,adjacent to 1463 Gateway Boulevard,4155740010,Richard Cornell Graveyard,LP-00741,"Borough of Queens Tax Map Block 15574, Lot 10.",Designated,,08/18/1970,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0741.pdf,305.35684915,5718.58357114
"MULTIPOLYGON (((-74.01407940654788 40.70500205519205, -74.01413217015124 40.7048960342061, -74.01418731350695 40.704752502993365, -74.01482096950762 40.70488290186699, -74.01470075252853 40.70515454307414, -74.01422971884647 40.70504338279382, -74.01407940654788 40.70500205519205)))",113,MN,13,1,1 Broadway,1000130001,International Mercantile Marine Company Building,LP-01926,"Borough of Manhattan Tax Map Block 13, Lot 1.",Designated,,09/19/1995,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1926.pdf,563.259382603,18200.0779041
"MULTIPOLYGON (((-74.0086650752451 40.70504291232072, -74.00875551433407 40.70527845857111, -74.00829917130228 40.70534078796069, -74.00825118794373 40.70529239612274, -74.00829074358673 40.70526330225725, -74.00844638772607 40.70514961937678, -74.00847588787045 40.705133136046975, -74.00855770656052 40.70508741912909, -74.00860985295377 40.70506315365957, -74.0086650752451 40.70504291232072)))",114,MN,28,7501,82-92 Beaver Street/1 Wall Street Court,1000287501,Beaver Building,LP-01942,"Borough of Manhattan Tax Map Block 28, Lot 17.",Designated,later the New York Coca Exchange Building,02/13/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1942.pdf,387.336143207,7957.91971365
"MULTIPOLYGON (((-74.01379795996047 40.70540360483515, -74.01407940654788 40.70500205519205, -74.01422971884647 40.70504338279382, -74.01470075252853 40.70515454307414, -74.01452324190335 40.70555564531455, -74.01379795996047 40.70540360483515)))",115,MN,13,5,5-11 Broadway,1000130005,Bowling Green Offices Building,LP-01927,"Borough of Manhattan Tax Map Block 13, Lot 5.",Designated,,09/19/1995,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1927.pdf,709.631897703,30686.040468
"MULTIPOLYGON (((-74.0099533286837 40.7046762666229, -74.01006725796675 40.70459003903723, -74.0102483710379 40.70474270298661, -74.0100037350645 40.70500861944621, -74.0099746527695 40.70500734504469, -74.00981226294435 40.704765809393216, -74.0099533286837 40.7046762666229)))",119,MN,29,36,1 William Street,1000290036,J. & W. Seligman & Company Building,LP-01943,"Borough of Manhattan Tax Map Block 29, Lot 36.",Designated,"later Lehman Brothers, now Banca Commerciale Italiana",02/13/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1943.pdf,395.606436479,9391.00477329
"MULTIPOLYGON (((-74.01241180197329 40.70560367619195, -74.01267443237295 40.705064593299845, -74.01325643562909 40.70509914070431, -74.01328211767883 40.70531661306976, -74.01324714184348 40.70555124266074, -74.01319691243027 40.705700455972256, -74.01316339455965 40.7057763918343, -74.01311912912449 40.70585544558131, -74.01263948220864 40.70568235431514, -74.01263504116784 40.70568833599965, -74.01241180197329 40.70560367619195)))",122,MN,22,13,26 Broadway,1000220013,Standard Oil Building,LP-01930,"Borough of Manhattan Tax Map Block 22, Lot 13.",Designated,,09/19/1995,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1930.pdf,872.354094101,48769.1868939
"MULTIPOLYGON (((-73.99743947726357 40.7206771631898, -73.99807486735705 40.719664838771855, -73.99837500076116 40.71980941483693, -73.99758353867635 40.72073373721932, -73.99743947726357 40.7206771631898)))",124,MN,472,7501,240 Centre Street,1004727501,New York City Police Headquarters,LP-00999,"Borough of Manhattan Tax Map Block 472, Lot 31.",Designated,now the Police Building Apartments,09/26/1978,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0999.pdf,954.044304007,28965.8581712
"MULTIPOLYGON (((-73.98829458430725 40.7366049290557, -73.9884408581268 40.73640720314716, -73.98883522729207 40.73657308585703, -73.98868675568282 40.7367716936429, -73.98829458430725 40.7366049290557)))",125,MN,873,1,50 Union Square East,1008730001,Germania Life Insurance Company Building,LP-01541,"Borough of Manhattan Tax Map Block 873, Lot 1 in part consisting of the western portion of the lot, which is approximately 80 feet by 115 feet, on which the described building is situated.",Designated,now the W Hotel,09/06/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1541.pdf,415.299637155,10343.5032221
"MULTIPOLYGON (((-74.0027223242019 40.716174708079514, -74.00290476292787 40.715966879375735, -74.0040870803066 40.71663339929787, -74.00396036573858 40.71678157726352, -74.0027223242019 40.716174708079514)))",133,MN,170,6,346 Broadway,1001700006,New York Life Insurance Company Building,LP-01512,"Borough of Manhattan Tax Map Block 170, Lot 6.",Designated,,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1512.pdf,971.627977908,31696.3192818
"MULTIPOLYGON (((-73.99652683143056 40.74040763638866, -73.9966912875685 40.740182042562765, -73.99676227694533 40.74021201886377, -73.99659777006106 40.740437681227114, -73.99652683143056 40.74040763638866)))",136,MN,793,59,136 West 18th Street,1007930059,136 West 18th Street Stable,LP-01818,"Borough of Manhattan Tax Map Block 793, Lot 59.",Designated,,12/11/1990,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1818.pdf,232.989360635,2114.89883085
"MULTIPOLYGON (((-74.00942294710534 40.70903365937897, -74.00963467463015 40.708821140155806, -74.0098941324762 40.70893858441137, -74.00967609993047 40.70916444300794, -74.00942294710534 40.70903365937897)))",139,MN,64,9,65 Liberty Street,1000640009,Chamber of Commerce of the State of New York,LP-00053,"Borough of Manhattan Tax Map Block 64, Lot 9.",Designated,now the Mega International Commercial Bank,01/18/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0053.pdf,367.794789177,8368.41391549
