the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98842225638215 40.71429647165251, -73.98861966330598 40.714279809380905, -73.98867156105872 40.71461278902445, -73.98847161332999 40.714629977928595, -73.98842225638215 40.71429647165251)))",131,MN,311,31,192 East Broadway,1003110031,"New York Public Library, Seward Park Branch",LP-02531,"Borough of Manhattan Tax Map Block 311, Lot 31.",Designated,,06/25/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2531.pdf,355.282457163,6773.53232845
"MULTIPOLYGON (((-74.008521574014 40.71356455590521, -74.00882261093592 40.713186239564436, -74.00893843287362 40.713238943815284, -74.00869398481485 40.713546136579176, -74.00864495608936 40.71352435782288, -74.00858880779127 40.71359496294918, -74.008521574014 40.71356455590521)))",166,MN,124,11,25 Park Place,1001240011,25 Park Place Building,LP-02223,"Borough of Manhattan, Tax Map Block 124, Lot 11.",Designated,,03/13/2007,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2223.pdf,396.865825434,5552.07008522
"MULTIPOLYGON (((-73.97975995097644 40.726495114293115, -73.97969123016964 40.72646620576096, -73.97973268380125 40.72640868495063, -73.98003122169223 40.726533370252625, -73.97998865546069 40.72659126558779, -73.97975995097644 40.726495114293115)))",194,MN,392,5,151 Avenue B,1003920005,Charlie Parker Residence,LP-02032,"Borough of Manhattan Tax Map Block 392, Lot 5.",Designated,,05/18/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2032.pdf,236.654442633,2266.4137113
"MULTIPOLYGON (((-73.98310938985459 40.74621991341481, -73.98292229950474 40.74647611413198, -73.98274328696698 40.746721243119886, -73.98208965946691 40.74644606653775, -73.98245215631603 40.74594219080786, -73.98310938985459 40.74621991341481)))",220,MN,862,29,2 Park Avenue,1008620029,2 Park Avenue Building,LP-02186,"Borough of Manhattan Tax Map Block 862, Lot 29.",Designated,,04/18/2006,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2186.pdf,833.532898236,43422.7635923
"MULTIPOLYGON (((-73.98302594026528 40.77052858029034, -73.98320522802385 40.770282469297356, -73.98365071875558 40.77046972639473, -73.98347143213923 40.77071583807404, -73.98302594026528 40.77052858029034)))",279,MN,1114,7501,33-43 West 61st Street,1011147501,Kent Automatic Parking Garage,LP-01239,"Borough of Manhattan, Tax Map Block 1114, Lot 1.",Designated,"later the Sofia Brothers Warehouse, now the Sofia Apartments",04/12/1983,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1239.pdf,486.999887,14452.4885363
"MULTIPOLYGON (((-74.00752177723872 40.71099551641516, -74.00764516050843 40.710909075458815, -74.00771658016106 40.71095715256765, -74.00770115253319 40.710971768891156, -74.00773190177102 40.71103863065747, -74.00776275725343 40.71110270712794, -74.00791005148149 40.71095833441398, -74.00796680012965 40.71099243104378, -74.00792402087095 40.7110314018003, -74.00794868225397 40.71109302025273, -74.00796558586511 40.71109075790171, -74.00807069411036 40.7113237586449, -74.00771068381813 40.711412432302325, -74.00752177723872 40.71099551641516)))",345,MN,90,7501,15 Park Row,1000907501,Park Row Building,LP-02024,"Borough of Manhattan Tax Map Block 90, Lot 4.",Designated,,06/15/1999,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2024.pdf,619.121078299,15288.4732436
"MULTIPOLYGON (((-74.00843061769262 40.71352314182063, -74.00857611082566 40.71334019416403, -74.00873163719416 40.71314484192618, -74.00882261093592 40.713186239564436, -74.008521574014 40.71356455590521, -74.00843061769262 40.71352314182063)))",355,MN,124,10,23 Park Place,1001240010,23 Park Place Building,LP-02217,"Borough of Manhattan, Tax Map Block 124, Lot 10.",Designated,,03/13/2007,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2217.pdf,381.020672692,4736.22982725
"MULTIPOLYGON (((-73.9846238580721 40.75328954259863, -73.98473201808027 40.753140974468, -73.98505580337695 40.75327717877378, -73.98494765808424 40.753425727396284, -73.9846238580721 40.75328954259863)))",392,MN,841,89,80 West 40th Street,1008410089,Bryant Park Studios,LP-01542,"Borough of Manhattan Tax Map Block 841, Lot 89.",Designated,,12/13/1988,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1542.pdf,328.767773274,6342.3566169
"MULTIPOLYGON (((-73.96324040747078 40.76709349209686, -73.96317590300303 40.767066324010344, -73.96321502768643 40.767012495385956, -73.96335395729497 40.76682128345334, -73.96358041314286 40.766916282770964, -73.9634020856845 40.76716159103715, -73.96324040747078 40.76709349209686)))",454,MN,1402,30,163 East 67th Street,1014020030,Park East Synagogue,LP-01056,"Borough of Manhattan Tax Map Block 1402, Lot 30.",Designated,Congregation Zichron Ephraim,01/29/1980,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1056.pdf,347.379714187,7310.53156312
"MULTIPOLYGON (((-73.97429775479429 40.787837186377075, -73.97420620658337 40.78779853173322, -73.9743959656672 40.7875386120306, -73.97480081949288 40.78770955240679, -73.97465720545719 40.78790637942359, -73.97436752430116 40.78778406785832, -73.97434947891831 40.78780878889743, -73.97432580262871 40.78779879166728, -73.97429775479429 40.787837186377075)))",491,MN,1217,1,165 West 86th Street,1012170001,West Park Presbyterian Church,LP-02338,"Borough of Manhattan Tax Map Block 1217, Lot 1",Designated,,01/12/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2338.pdf,473.112303874,11357.1696069
