the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-74.15192193203103 40.58295935113138, -74.15199518138749 40.58288801641334, -74.15215337886448 40.58273395410881, -74.15247184698494 40.58242380350605, -74.15272952955463 40.58217284780248, -74.15296199479684 40.58195613874219, -74.15319779377076 40.581736229696524, -74.15365082355957 40.58131236615991, -74.15546730853794 40.582284848251646, -74.15521015324737 40.582544486854516, -74.15499265202463 40.58276408806888, -74.15485465512859 40.582903415187054, -74.15463537808476 40.58312480565047, -74.15442489163436 40.58333731820453, -74.15429451665634 40.58346894841315, -74.15408236176154 40.583683142950335, -74.15386604450525 40.58390153911064, -74.15378788683681 40.58398044509554, -74.15192193203103 40.58295935113138)))",2,SI,2390,194,435 Richmond Hill Road,5023900194,Decker Farmhouse,LP-00369,"Borough of Richmond Tax Map Block 2390, Lot 194.",Designated,,12/13/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0369.pdf,2797.20941661,484779.747763
"MULTIPOLYGON (((-74.00909814014196 40.7053437001706, -74.00990443877392 40.70524502130577, -74.00992274907968 40.7053150119834, -74.00992697175252 40.70538273638541, -74.00982182468921 40.70574214492599, -74.00911742822929 40.70550021834238, -74.00909814014196 40.7053437001706)))",117,MN,27,7502,20 Exchange Place,1000277502,City Bank-Farmers Trust Company Building,LP-01941,"Borough of Manhattan Tax Map Block 27, Lot 27.",Designated,,06/25/1996,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1941.pdf,682.819169021,26353.6887729
"MULTIPOLYGON (((-73.87895976104754 40.84385541627114, -73.87880008486042 40.84376663284083, -73.87919869434832 40.84333406487342, -73.87963733896406 40.84358198895496, -73.87928664566455 40.84398131732936, -73.87925368878447 40.844018845119095, -73.87895976104754 40.84385541627114)))",955,BX,3133,25,2103 Bryant Avenue,2031330025,Old West Farms Soldiers' Cemetery,LP-00624,"Borough of The Bronx Tax Map Block 3133, Lot 25.",Designated,,08/02/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0624.pdf,690.509447195,29409.64131
"MULTIPOLYGON (((-73.72021035793118 40.74972393065621, -73.71987545588662 40.74901913345889, -73.71947023226627 40.74795248548247, -73.72096783101358 40.74752131069383, -73.72182684624109 40.7491122352383, -73.72027941733322 40.74969883906376, -73.72021035793118 40.74972393065621)))",1240,QN,8401,1,73-50 Little Neck Parkway,4084010001,Jacob Adriance Farmhouse,LP-00941,"Borough of Queens Tax Map Block 8401, Lot 1 in part consisitng of the land described above.",Designated,"designated as the Creedmoor (Cornell) Farmhouse, now the Queens County Farm Museum",11/09/1976,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0941.pdf,2248.10444262,310038.743963
