the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.9854490626094 40.721185051094345, -73.98551276699 40.72106046822206, -73.98554677887347 40.72099395725505, -73.98589183443738 40.72109944972896, -73.98579249403853 40.72129004567615, -73.9854490626094 40.721185051094345)))",234,MN,355,41,172-176 Norfolk Street,1003550041,Anshe Chesed Synagogue,LP-01440,"Borough of Manhattan, Tax Map Block 355, Lot 41.",Designated,later Anshe Slonim,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1440.pdf,355.080236591,7681.96990673
"MULTIPOLYGON (((-73.99108826677106 40.71867599060954, -73.99119028741562 40.71847930818917, -73.99125833145098 40.71849984139966, -73.99115631097582 40.718696523879785, -73.99108826677106 40.71867599060954)))",300,MN,414,27,280 Broome Street,1004140027,Kehila Kadosha Janina Synagogue,LP-02143,"Borough of Manhattan Tax Block 414, Lot 27.",Designated,,05/11/2004,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2143.pdf,194.655182384,1563.17056783
"MULTIPOLYGON (((-73.99326980936046 40.71475912060324, -73.99329853210408 40.71470312044024, -73.99334627934122 40.71461003114969, -73.9934200124349 40.714632365343256, -73.99365991633164 40.714705112126865, -73.99358020666925 40.71485321014432, -73.99326980936046 40.71475912060324)))",313,MN,293,3,12-16 Eldridge Street,1002930003,Eldridge Street Synagogue,LP-01107,"Borough of Manhattan Tax Map Block 293, Lot 3.",Designated,(Congregation Khal Adath Jeshurun with Anshe Lubz),07/08/1980,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1107.pdf,302.832074936,5429.01598912
"MULTIPOLYGON (((-73.96324040747078 40.76709349209686, -73.96317590300303 40.767066324010344, -73.96321502768643 40.767012495385956, -73.96335395729497 40.76682128345334, -73.96358041314286 40.766916282770964, -73.9634020856845 40.76716159103715, -73.96324040747078 40.76709349209686)))",454,MN,1402,30,163 East 67th Street,1014020030,Park East Synagogue,LP-01056,"Borough of Manhattan Tax Map Block 1402, Lot 30.",Designated,Congregation Zichron Ephraim,01/29/1980,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1056.pdf,347.379714187,7310.53156312
"MULTIPOLYGON (((-73.97041478362532 40.75935980719415, -73.97087038186034 40.759553026642564, -73.97068704287507 40.75980380403058, -73.97023144345657 40.75961058386416, -73.97041478362532 40.75935980719415)))",508,MN,1309,56,652 Lexington Avenue,1013090056,Central Synagogue,LP-00276,"Borough of Manhattan Tax Map Block 1309, Lot 56.",Designated,(Congregation Ahavath Chesed),06/07/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0276.pdf,498.110151276,15107.3850885
"MULTIPOLYGON (((-73.99200898322844 40.713593350858076, -73.99199762796279 40.71351436809453, -73.99231204101437 40.713489004129805, -73.99233235417307 40.71363028837749, -73.99201794046287 40.71365565149674, -73.99200898322844 40.713593350858076)))",705,MN,283,45,13 Pike Street,1002830045,Pike Street Synagogue,LP-01960,"Borough of Manhattan Tax Map Block 283, Lot 45.",Designated,,05/20/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1960.pdf,278.86523497,4538.66785509
"MULTIPOLYGON (((-73.98621035458622 40.61530434504841, -73.98612434485635 40.615251954098916, -73.9860421765234 40.6152019031046, -73.98603778937925 40.6151992307263, -73.9862658272425 40.6149799597416, -73.9864945178105 40.61511926320523, -73.9862664814045 40.61533853374009, -73.98621035458622 40.61530434504841)))",860,BK,5563,68,2017 67th Street,3055630068,Magen David Synagogue,LP-02090,"Borough of Brooklyn Tax Map Block 5563, Lot 68",Designated,,04/24/2001,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2090.pdf,366.430418803,8285.29310529
"MULTIPOLYGON (((-73.97745588155594 40.77504278215414, -73.97710963774254 40.77490088021658, -73.97713183248852 40.77487019639206, -73.97711873209452 40.774864719635495, -73.97720923521969 40.774739599212545, -73.97722233559684 40.77474507505843, -73.97724646906912 40.774711711698224, -73.97726357026359 40.77471886056297, -73.97754506337866 40.77484781912368, -73.97758486565542 40.77486445825762, -73.97745588155594 40.77504278215414)))",1053,MN,1122,36,99 Central Park West,1011220036,Shearith Israel Synagogue,LP-00832,"Borough of Manhattan Tax Map Block 1122, Lot 36 in part, consisting of the land on which the described building is situated.",Designated,(the Spanish and Portuguese Synagogue),03/19/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0832.pdf,379.03882013,8525.55655923
