the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.99233005410443 40.72798255928042, -73.9925850311571 40.72768110725909, -73.99295720285797 40.72786400594613, -73.99270739083661 40.728159295129004, -73.99238521424077 40.72800096573825, -73.99238033312831 40.7280067358754, -73.99233005410443 40.72798255928042)))",256,MN,544,1,393-399 Lafayette Street,1005440001,De Vinne Press Building,LP-00201,"Borough of Manhattan Tax Map Block 544, Lot 1.",Designated,,10/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0201.pdf,506.636266747,15753.1289195
"MULTIPOLYGON (((-73.96685753266584 40.770754604958675, -73.96667578791273 40.77100365155466, -73.96666990940308 40.77100117166934, -73.96659985759162 40.770971619379665, -73.96678133609092 40.77072246026254, -73.96685753266584 40.770754604958675)))",1231,MN,1385,7501,15 East 70th Street,1013857501,John Chandler and Corinne deBébian Moore House,LP-00847,"Borough of Manhattan Tax Map Block 1385, Lot 13.",Designated,also known as the 15 East 70th Street House,07/23/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0847.pdf,255.720036737,2500.20162484
"MULTIPOLYGON (((-74.00219701314768 40.733773452624824, -74.00224944653837 40.73397762559589, -74.00224962536531 40.73397970216388, -74.00216266708142 40.73399236947481, -74.00217709359414 40.73404321008352, -74.00208914790672 40.73405588636262, -74.00208754720329 40.73405024470908, -74.00201660387378 40.733800262248394, -74.00219701314768 40.733773452624824)))",1362,MN,610,1,51-53 Christopher Street,1006100001,Stonewall Inn,LP-02574,"Borough of Manhattan, Tax Map Block 610, Lot 1 in part consisting of the land on which the buildings at 51-53 Christopher Street are situated",Designated,,06/23/2015,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2574.pdf,291.065743284,4306.54327741
"MULTIPOLYGON (((-73.97406297785422 40.760581758109595, -73.97419263793371 40.76063645326202, -73.97401312003444 40.7608799165554, -73.9738834608131 40.76082522030264, -73.97392793110004 40.76076491187607, -73.9739735731961 40.7607030125049, -73.97401748166908 40.76064346124018, -73.97406297785422 40.760581758109595)))",0,MN,1290,14,19-21 East 54th Street,1012900014,Minnie E. Young House,LP-02577,"Borough of Manhattan Tax Map Block 1290, Lot 14",Designated,,11/22/2016,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2577.pdf,285.536640943,4177.09444527
