the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.98767455378142 40.691474649900215, -73.98789699534593 40.69115959028337, -73.98797898254023 40.691192633299266, -73.98775654243579 40.69150769397397, -73.98767455378142 40.691474649900215)))",858,BK,154,17,372 Fulton Street,3001540017,Gage & Tollner Restaurant,LP-00836,"Borough of Brooklyn Tax Map Block 154, Lot 17.",Designated,,11/12/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0836.pdf,312.076475735,3352.46795493
"MULTIPOLYGON (((-73.98771116635517 40.572521383467965, -73.9878491943634 40.573242426562686, -73.98749318090583 40.573281228878784, -73.98736406645983 40.57260673355508, -73.98771116635517 40.572521383467965)))",864,BK,7071,130,2101 Boardwalk at West 21st Street,3070710130,Child's Restaurant Building,LP-02106,"Borough of Brooklyn Tax Map Block 7071, Lot 130.",Designated,,02/04/2003,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2106.pdf,715.043390239,25667.2667612
"MULTIPOLYGON (((-73.97974689614011 40.57507484624288, -73.97984691839393 40.57507651359368, -73.97984571193764 40.57513346794866, -73.97997008175732 40.57513553929397, -73.97997472615357 40.57539324136829, -73.97974023554963 40.57538933430299, -73.97974689614011 40.57507484624288)))",866,BK,8694,18,1208 Surf Avenue,3086940018,Child's Restaurant Building,LP-02410,Borough of Brooklyn Tax Nao Block 8694 Lot 18.,Designated,,01/11/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2410.pdf,356.747315614,6559.20635613
"MULTIPOLYGON (((-73.94861535036284 40.58381395361012, -73.94954221668458 40.583711553390046, -73.949633790919 40.584184100209136, -73.94869212999066 40.58422036369618, -73.94861535036284 40.58381395361012)))",917,BK,8775,41,1901-1929 Emmons Avenue,3087750041,F.W.I.L. Lundy Brothers Restaurant Building,LP-01706,"Borough of Brooklyn Tax Map Block 8775, Lot 41.",Designated,,03/03/1992,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1706.pdf,845.653780148,42140.5943184
