Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
Century Association Building,New York,7/15/82,90NR00780,-73.98096953,40.75465218,POINT (-73.9809695329 40.7546521795),other
Colony Arcade,New York,9/10/14,14NR06551,-73.98519665,40.75238881,POINT (-73.9851966543 40.7523888132),other
Bowker Building,New York,,05NR05486,-73.98336679,40.7436568,POINT (-73.9833667852 40.7436568),other
Fire Hook and Ladder No. 14,New York,5/22/13,13NR06420,-73.93819388,40.80440053,POINT (-73.9381938791 40.8044005284),other
Congregation Ohab Zedek,New York,8/18/17,17NR00034,-73.96907978,40.79239682,POINT (-73.9690797849 40.792396821),other
Coty Building,New York,,94NR00538,-73.97493595,40.76221916,POINT (-73.9749359525 40.7622191634),other
Governor's Island,New York,2/4/85,90NR00618,-74.01638984,40.6905131,POINT (-74.0163898369 40.6905130995),other
"Dahlgren, Lucy Drexel, Residence",New York,7/20/89,90NR00785,-73.95455311,40.78771019,POINT (-73.9545531087 40.7877101852),other
College of the City of New York,New York,9/7/84,90NR00824,-73.94903662,40.82085692,POINT (-73.9490366219 40.8208569181),other
Hudson View Gardens,New York,2/16/16,15NR00099,-73.93904772,40.85314933,POINT (-73.9390477242 40.853149332),other
Thomson Meter Company Building,Kings,,94NR00550,-73.98523832,40.70116577,POINT (-73.9852383218 40.701165765),other
Mary A. Whalen,Kings,10/3/12,12NR06355,-74.00740849,40.68723584,POINT (-74.0074084933 40.6872358367),other
New York Botanical Garden,Bronx,5/28/67,90NR00041,-73.87724116,40.86228537,POINT (-73.8772411596 40.8622853737),other
Bayard Rustin Apartment,New York,3/8/16,15NR00130,-73.99778519,40.7488591,POINT (-73.9977851866 40.7488590986),other
W.O. DECKER (Tugboat),New York,9/13/96,96NR01026,-74.00338844,40.70546017,POINT (-74.0033884389 40.7054601705),other
"Pupin Physics Laboratories, Columbia University",New York,10/15/66,90NR00877,-73.96143088,40.81001016,POINT (-73.9614308809 40.810010161),other
"Statue of Liberty National Monument, Ellis Island & Liberty Island",New York,10/15/66,90NR00879,-74.04215496,40.69649426,POINT (-74.0421549601 40.6964942574),other
Fred F. French Building,New York,1/28/04,03NR05154,-73.97887092,40.75539533,POINT (-73.9788709247 40.7553953292),other
Kismet Temple,Kings,12/11/13,13NR06471,-73.95028648,40.67933658,POINT (-73.9502864776 40.6793365842),other
John Street Building No. 170--176,New York,5/13/71,90NR00720,-74.00428073,40.70591823,POINT (-74.0042807256 40.7059182293),other
Atlantic Avenue Tunnel,Kings,9/7/89,90NR03137,-73.9952077,40.69047587,POINT (-73.9952077026 40.690475869),other
Solomon R. Guggenheim Museum,New York,5/19/05,04NR05402,-73.95890453,40.78300817,POINT (-73.9589045263 40.7830081666),other
Jacques Marchais Center of Tibetan Art,Richmond,5/29/09,08NR05969,-74.1380506,40.57618466,POINT (-74.1380505982 40.5761846575),other
American Fine Arts Society,New York,5/6/80,90NR00692,-73.98060183,40.76624118,POINT (-73.9806018291 40.7662411848),other
Joralemon Street Tunnel (IRT),Kings,2/9/06,05NR05428,-74.00473294,40.69694826,POINT (-74.0047329438 40.6969482634),other
Young Israel of Flatbush,Kings,2/12/10,09NR06066,-73.96594956,40.62693647,POINT (-73.9659495559 40.6269364704),other
"19 Rector Street, Building at",New York,5/22/02,02NR01912,-74.0140872,40.7078846,POINT (-74.014087197 40.7078845963),other
Macmillan Building,New York,11/1/06,04NR05359,-73.99479127,40.73502091,POINT (-73.994791267 40.7350209069),other
Old New York Evening Post Building,New York,8/16/77,90NR00808,-74.00952692,40.71205733,POINT (-74.0095269228 40.7120573254),post office
United States Post Office-Madison Square Station,New York,5/11/89,90NR00717,-73.98358574,40.73955748,POINT (-73.9835857442 40.7395574828),post office
United States Post Office-Inwood Station,New York,5/11/89,90NR00714,-73.92292905,40.86618433,POINT (-73.9229290528 40.8661843292),post office
United States Post Office-Flatbush Station,Kings,11/17/88,90NR01337,-73.95641961,40.65095321,POINT (-73.9564196066 40.6509532077),post office
U.S. General Post Office,New York,1/29/73,90NR00614,-73.99583796,40.75152861,POINT (-73.9958379579 40.7515286125),post office
United States Post Office-Cooper Station,New York,5/11/89,90NR00713,-73.98972229,40.73204177,POINT (-73.989722294 40.7320417671),post office
Federal Building and Post Office,Kings,10/9/74,90NR01323,-73.98951225,40.6955724,POINT (-73.9895122499 40.6955724017),post office
United States Post Office-Jamaica Main,Queens,11/17/88,90NR01617,-73.79782708,40.70768239,POINT (-73.7978270773 40.7076823895),post office
United States Post Office-Flushing Main,Queens,11/17/88,90NR01614,-73.8281051,40.756456,POINT (-73.8281051039 40.7564560047),post office
United States Post Office-Morrisania,Bronx,11/17/88,90NR00069,-73.90890359,40.82992512,POINT (-73.9089035897 40.8299251189),post office
United States Post Office-Far Rockaway,Queens,11/17/88,90NR01613,-73.75063779,40.60346543,POINT (-73.7506377939 40.6034654267),post office
United States Post Office-Kensington Station,Kings,11/17/88,90NR01338,-73.97923098,40.64382187,POINT (-73.9792309812 40.6438218657),post office
United States Post Office-Canal Street Station,New York,5/11/89,90NR00711,-74.00409551,40.72048129,POINT (-74.0040955128 40.7204812911),post office
United States Post Office-Old Chelsea Station,New York,5/11/89,90NR00718,-73.99887511,40.74172768,POINT (-73.9988751062 40.7417276801),post office
United States Post Office-Lenox Hill Station,New York,5/11/89,90NR00716,-73.96011257,40.76808501,POINT (-73.9601125682 40.7680850136),post office
United States Post Office-Long Island City,Queens,5/11/89,90NR01575,-73.94861871,40.74572445,POINT (-73.9486187085 40.7457244505),post office
New York Evening Post Building,New York,9/22/00,00NR01653,-74.01449423,40.70903174,POINT (-74.0144942273 40.7090317415),post office
United States Post Office-Forest Hills Station,Queens,11/17/88,90NR01615,-73.84693226,40.72164216,POINT (-73.8469322615 40.7216421626),post office
United States Post Office-Jackson Heights Station,Queens,11/17/88,90NR01616,-73.88751813,40.74916206,POINT (-73.8875181281 40.7491620583),post office
Bronx Central Annex-U.S. Post Office,Bronx,5/6/80,90NR00039,-73.92656454,40.81892266,POINT (-73.9265645383 40.8189226554),post office
United States Post Office-Metropolitan Station,Kings,11/17/88,90NR01339,-73.94109096,40.70204403,POINT (-73.9410909594 40.7020440293),post office
United States Post Office-Knickerbocker Station,New York,5/11/89,90NR00715,-73.99188686,40.71418118,POINT (-73.9918868619 40.7141811815),post office
United States Post Office-Parkville Station,Kings,11/17/88,90NR01340,-73.98702679,40.61579819,POINT (-73.9870267885 40.6157981874),post office
Union Theological Seminary,New York,4/23/80,90NR00684,-73.96213614,40.81143324,POINT (-73.9621361428 40.811433242),seminary
Studio Apartments,New York,5/19/83,90NR00724,-73.97610823,40.78025196,POINT (-73.9761082252 40.7802519595),studio
Paramount Studios Complex,Queens,11/14/78,90NR01612,-73.92447324,40.75673199,POINT (-73.9244732379 40.7567319869),studio
Magen David Synagogue,Kings,4/15/04,03NR05162,-73.98614384,40.61514172,POINT (-73.9861438443 40.6151417208),synagogue
Temple of Israel Synagogue,Queens,2/5/14,13NR06491,-73.80939039,40.58723677,POINT (-73.8093903902 40.5872367724),synagogue
Eldridge Street Synagogue,New York,3/28/80,90NR00642,-73.9934635,40.7147368,POINT (-73.9934634977 40.7147368048),synagogue
Free Synagogue of Flushing,Queens,10/16/09,09NR06004,-73.82809514,40.75731493,POINT (-73.8280951407 40.7573149277),synagogue
First Roumanian-American Congregation Synagogue,New York,3/12/98,98NR01290,-73.98883366,40.72001297,POINT (-73.9888336562 40.7200129674),synagogue
Kol Israel Synagogue,Kings,12/2/09,09NR06022,-73.95819271,40.67288505,POINT (-73.9581927121 40.6728850452),synagogue
Beth Hamedrash Hagodol Synagogue,New York,11/30/99,99NR01552,-73.98777527,40.71703775,POINT (-73.987775271 40.7170377495),synagogue
Mt. Neboh Synagogue (DEMOLISHED),New York,,94NR00591,-73.97687615,40.78223257,POINT (-73.9768761527 40.7822325705),synagogue
Bialystoker Synagogue,New York,4/26/72,90NR00685,-73.98331207,40.71555849,POINT (-73.9833120715 40.7155584945),synagogue
Central Synagogue,New York,10/9/70,90NR00862,-73.97055235,40.75959007,POINT (-73.9705523536 40.7595900727),synagogue
Chevra Linas Hazedek Synagogue,Bronx,11/19/14,14NR06581,-73.87711751,40.82669549,POINT (-73.8771175092 40.8266954852),synagogue
Kehila Kedosha Janina Synagogue,New York,11/30/99,99NR01516,-73.99117474,40.71859617,POINT (-73.9911747431 40.718596174),synagogue
Old Broadway Synagogue,New York,1/11/02,01NR01808,-73.95707195,40.81523131,POINT (-73.9570719497 40.8152313072),synagogue
Shaari Zedek Synagogue,Kings,12/4/09,09NR06024,-73.93089402,40.68647629,POINT (-73.9308940245 40.6864762932),synagogue
Fraunces Tavern,New York,3/6/08,07NR05804,-74.01134999,40.70340709,POINT (-74.0113499926 40.7034070927),tavern
Fraunces Tavern Block,New York,4/28/77,90NR00689,-74.01104866,40.70336667,POINT (-74.0110486644 40.7033666686),tavern
New Amsterdam Theater,New York,1/10/80,90NR00606,-73.98804599,40.75593031,POINT (-73.9880459873 40.7559303105),theater
Loew's Kameo Theater,Kings,4/22/21,20NR00134,-73.9509829,40.66934124,POINT (-73.9509829046 40.6693412414),theater
Biltmore Theater,New York,10/27/04,04NR05239,-73.98674065,40.76037898,POINT (-73.9867406508 40.7603789776),theater
RKO Keith's Theater,Queens,10/29/82,90NR01611,-73.83203644,40.76367442,POINT (-73.8320364379 40.7636744166),theater
Bouwerie Lane Theater,New York,4/23/80,90NR00673,-73.99236986,40.72592005,POINT (-73.9923698636 40.7259200547),theater
Hudson Theater,New York,11/15/16,16NR00078,-73.98446325,40.75715879,POINT (-73.98446325 40.7571587877),theater
"Sullivan, Ed, Theater",New York,11/17/97,93NR00469,-73.98320035,40.76380518,POINT (-73.9832003489 40.7638051763),theater
Apollo Theater,New York,11/17/83,90NR00914,-73.94940637,40.80997901,POINT (-73.9494063729 40.8099790086),theater
Loew's King Theatre,Kings,8/22/12,12NR06356,-73.95734216,40.6459954,POINT (-73.9573421557 40.645995398),theater
Yiddish Art Theatre,New York,9/19/85,90NR00852,-73.98639442,40.73098001,POINT (-73.9863944176 40.7309800085),theater
RKO Keith's Theatre,Queens,,03NR05085,-73.83318892,40.70062887,POINT (-73.833188918 40.7006288701),theater
