Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
Church of Saint Dismas,Clinton,11/21/91,91NR03365,-73.72176427,44.72466433,POINT (-73.7217642698 44.7246643345),church
St. Bartholomew's Church and Community House,New York,4/16/80,90NR00662,-73.97315203,40.75725789,POINT (-73.9731520331 40.7572578877),church
Richmond Avenue Methodist Episcopal Church,Erie,12/5/08,08NR05909,-78.88154192,42.91513743,POINT (-78.8815419198 42.9151374277),church
First Methodist Episcopal Church of Perry,Wyoming,9/28/06,06NR05594,-78.00345736,42.71947238,POINT (-78.0034573588 42.7194723752),church
Christ Lutheran Church and Parsonage,Ulster,5/28/10,09NR06086,-74.39280409,41.71493229,POINT (-74.392804092 41.7149322893),church
Emmanuel Episcopal Church,Chemung,11/19/98,98NR01398,-76.8027905,42.07987649,POINT (-76.8027905012 42.0798764853),church
St. Andrews Episcopal Church,Albany,1/7/05,04NR05248,-73.78818629,42.66478523,POINT (-73.7881862939 42.6647852324),church
Columbus Community Church,Chenango,3/20/86,90NR00151,-75.37234106,42.68353948,POINT (-75.3723410582 42.6835394764),church
First Presbyterian Church of Ulysses,Tompkins,6/3/99,99NR01494,-76.65860579,42.54142032,POINT (-76.6586057867 42.5414203223),church
Mentz Church,Cayuga,9/24/04,04NR05253,-76.67734364,42.99612049,POINT (-76.6773436419 42.996120486),church
St. Paul's Evangelical Lutheran Church,Sullivan,8/15/97,97NR01243,-74.74713232,41.79897902,POINT (-74.7471323162 41.798979021),church
St. Ann's Episcopal Church and Rectory,Suffolk,8/30/10,01NR01780,-73.0754913,40.73618153,POINT (-73.0754912992 40.7361815329),church
First Union Protestant Church of Mountain View,Franklin,3/15/05,03NR05050,-74.13902065,44.70179984,POINT (-74.1390206512 44.7017998389),church
First Baptist Church of Interlaken,Seneca,12/31/02,02NR04983,-76.72538527,42.61652168,POINT (-76.7253852693 42.616521676),church
St. Luke's Episcopal Church,Yates,8/24/94,94NR00676,-77.15276808,42.59683239,POINT (-77.1527680777 42.5968323938),church
Callicoon Methodist Church and Parsonage,Sullivan,11/4/93,93NR00466,-75.05543181,41.76695692,POINT (-75.0554318068 41.7669569227),church
St. Paul's Church (Episcopal),Jefferson,8/30/96,90NR03205,-75.98085355,44.00500558,POINT (-75.980853548 44.0050055798),church
First Baptist Church of Cold Spring,Putnam,11/23/82,90NR02392,-73.94956418,41.42299844,POINT (-73.9495641755 41.4229984353),church
East Side Presbyterian Church,Monroe,11/10/10,10NR06118,-77.56947333,43.16546962,POINT (-77.5694733282 43.1654696216),church
St. Francis DeSales Church (former),Greene,12/9/99,99NR01558,-74.36092162,42.23902266,POINT (-74.3609216231 42.2390226617),church
Saint George's Church,Westchester,5/8/12,05NR05527,-73.85050879,41.32472434,POINT (-73.8505087942 41.324724336),church
Chapin Memorial Church,Otsego,9/12/02,02NR01930,-75.06116983,42.45593368,POINT (-75.0611698253 42.4559336832),church
Bloomville Methodist Episcopal Church,Delaware,11/29/06,06NR05614,-74.8094222,42.33294878,POINT (-74.8094222005 42.3329487821),church
Fort Miller Reformed Church Complex,Washington,12/6/96,96NR01058,-73.5818642,43.16357945,POINT (-73.5818641967 43.163579449),church
Saint Peter's Episcopal Church,Ontario,11/29/96,96NR01091,-77.42388407,42.90033205,POINT (-77.4238840708 42.9003320534),church
"Judson Memorial Church, Campanile, and Judson Hall",New York,10/16/74,90NR00882,-73.99841778,40.73021837,POINT (-73.9984177811 40.7302183729),church
Tompkins Corners United Methodist Church,Putnam,3/31/83,90NR02380,-73.80147986,41.39973695,POINT (-73.8014798582 41.3997369545),church
St. Thomas' Episcopal Church,Orange,7/12/06,06NR05584,-74.01711227,41.47099073,POINT (-74.0171122674 41.4709907311),church
Waits Methodist Episcopal Church,Tioga,11/22/00,00NR01686,-76.26971815,42.00756093,POINT (-76.2697181536 42.0075609254),church
State Street Methodist Episcopal Church,Oswego,2/20/13,12NR06404,-76.40957713,43.31877244,POINT (-76.4095771332 43.3187724376),church
German Evangelical Lutheran St. John's Church,Kings,1/31/19,18NR00078,-73.94274984,40.7112261,POINT (-73.9427498441 40.7112260955),church
Sparta First Presbyterian Church,Livingston,1/23/07,06NR05638,-77.76626722,42.66291907,POINT (-77.7662672216 42.6629190728),church
All Saints Episcopal Church,Westchester,5/2/02,02NR01901,-73.84500675,41.14638178,POINT (-73.8450067515 41.1463817804),church
Bushwick Avenue Central Methodist Episcopal Church,Kings,3/27/17,15NR00134,-73.91787234,40.68975263,POINT (-73.9178723363 40.6897526343),church
Camroden Presbyterian Church,Oneida,1/4/07,06NR05653,-75.3551996,43.25316394,POINT (-75.3551995982 43.2531639363),church
St. John's Episcopal Church,Monroe,7/7/88,90NR01530,-77.59293716,42.95318687,POINT (-77.5929371617 42.953186872),church
St. Luke's Episcopal Church Complex,Dutchess,5/30/08,08NR05852,-73.963427,41.49797863,POINT (-73.9634269967 41.497978632),church
Plymouth Church of the Pilgrims,Kings,10/15/66,90NR01326,-73.99349593,40.69942874,POINT (-73.9934959323 40.6994287443),church
Cuyler Presbyterian Church,Kings,3/23/01,00NR01718,-73.98651609,40.68654669,POINT (-73.9865160872 40.6865466892),church
Holy Cross African Orthodox Church Pro-Cathedral,New York,11/9/17,17NR00066,-73.94475316,40.81055348,POINT (-73.9447531582 40.8105534776),church
St. Mark's Episcopal Church,Orange,11/23/82,90NR02299,-73.98772377,41.33031394,POINT (-73.9877237697 41.3303139393),church
St. Mary of Sorrows Roman Catholic Church,Erie,,90NR03150,-78.8429131,42.90121191,POINT (-78.8429131022 42.9012119054),church
Church of St. Mary the Virgin Complex,New York,4/16/90,91NR00067,-73.98360669,40.75835847,POINT (-73.9836066857 40.7583584662),church
St. Mark's Church (Episcopal),Oneida,8/30/96,96NR01021,-75.37913671,43.09032023,POINT (-75.3791367065 43.0903202333),church
