Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Saltonstall Street School,Ontario,04/26/1984,90NR02004,-77.2759423449,42.8842935634,POINT (-77.2759423449 42.8842935634)
Common School No. 10,Ulster,09/15/1988,90NR01076,-74.323243613,41.8775679118,POINT (-74.323243613 41.8775679118)
Amboy District No. 2 Schoolhouse,Oswego,12/01/2020,19NR00109,-75.9034017088,43.3697472624,POINT (-75.9034017088 43.3697472624)
East Springfield Union School,Otsego,04/26/1996,96NR00981,-74.8126423203,42.8301693009,POINT (-74.8126423203 42.8301693009)
Dresden District School No. 2,Washington,04/05/2019,18NR00094,-73.4785186189,43.648133583,POINT (-73.4785186189 43.648133583)
Buttermilk Flat Schoolhouse No. 22,Jefferson,06/28/1996,96NR00959,-75.9500440907,44.1719621215,POINT (-75.9500440907 44.1719621215)
Van Rensselaer High School,Rensselaer,08/14/2012,12NR06368,-73.7270318335,42.6607963586,POINT (-73.7270318335 42.6607963586)
North Bloomfield School,Livingston,05/28/1981,90NR01356,-77.5781957846,42.9372662354,POINT (-77.5781957846 42.9372662354)
Payne Avenue High School,Niagara,03/07/2019,18NR00083,-78.8717359407,43.0404655815,POINT (-78.8717359407 43.0404655815)
Violet Avenue School,Dutchess,08/18/2014,14NR06549,-73.9116922182,41.727711314,POINT (-73.9116922182 41.727711314)
Buffalo Public School #44 (PS 44),Erie,07/27/2018,18NR00032,-78.8241829986,42.8948135164,POINT (-78.8241829986 42.8948135164)
District School No. 5,Steuben,03/21/2001,01NR01734,-77.1324313991,42.2235432879,POINT (-77.1324313991 42.2235432879)
Hankins District No. 1 Schoolhouse,Sullivan,02/04/2000,00NR01600,-75.0828874004,41.8161586376,POINT (-75.0828874004 41.8161586376)
Public School 109,New York,09/22/2000,00NR01656,-73.9466474167,40.7870108308,POINT (-73.9466474167 40.7870108308)
Glenville District No. 5 Schoolhouse,Schenectady,05/19/2014,13NR06506,-74.0789072546,42.939766071,POINT (-74.0789072546 42.939766071)
"Irving, Washington, High School",Westchester,04/26/1984,90NR02524,-73.8572249559,41.0770238251,POINT (-73.8572249559 41.0770238251)
South Junior High School,Niagara,06/07/2016,16NR00008,-79.0460651544,43.0924926425,POINT (-79.0460651544 43.0924926425)
St. Columba School,Schenectady,12/01/2015,15NR00046,-73.9367369995,42.8050699001,POINT (-73.9367369995 42.8050699001)
St. Patrick's Parochial School & Convent,Chemung,11/05/1992,91NR03346,-76.8108256638,42.0933066588,POINT (-76.8108256638 42.0933066588)
Indian Rock Schoolhouse,Dutchess,04/01/2002,02NR01896,-73.5462283887,41.8614814565,POINT (-73.5462283887 41.8614814565)
Public School 77 (PS77),Erie,07/24/2017,15NR00140,-78.8920027815,42.909272588,POINT (-78.8920027815 42.909272588)
First Old School Baptist Church of Roxbury and Vega Cemetery,Delaware,04/12/1996,96NR00935,-74.5357230784,42.2496144878,POINT (-74.5357230784 42.2496144878)
Franklin Delano Roosevelt High School,Dutchess,01/07/2011,10NR06164,-73.9061449192,41.7725581004,POINT (-73.9061449192 41.7725581004)
New York School of Applied Design,New York,12/16/1982,90NR00943,-73.981723453,40.7441011005,POINT (-73.981723453 40.7441011005)
Deveaux School Historic District,Niagara,06/05/1974,90NR01964,-79.0587394919,43.119387891,POINT (-79.0587394919 43.119387891)
Taylor Center Methodist Episcopal Church and District #3 School,Cortland,07/30/2010,09NR06013,-75.9256744005,42.6166001458,POINT (-75.9256744005 42.6166001458)
Lyon Street School,Clinton,05/22/2013,13NR06439,-73.4595218674,44.6068634048,POINT (-73.4595218674 44.6068634048)
Rochester City School #24,Monroe,09/15/1983,90NR01482,-77.6002132371,43.1367233166,POINT (-77.6002132371 43.1367233166)
Public School No. 10,Rensselaer,11/04/1994,94NR00735,-73.6924724111,42.7228376448,POINT (-73.6924724111 42.7228376448)
Nichols High School,Tioga,05/16/1996,96NR00939,-76.3647246158,42.0205546234,POINT (-76.3647246158 42.0205546234)
